"t0","t1","t1_normalized","tweets_count","indicator"
2018-10-03 17:00:00, 2018-10-03 17:59:58, 2018-10-03 18:00:00, 8403, 0.197
2018-10-03 18:00:00, 2018-10-03 18:59:59, 2018-10-03 19:00:00, 7424, 0.156
2018-10-03 19:00:00, 2018-10-03 19:59:58, 2018-10-03 20:00:00, 6936, 0.154
2018-10-03 20:00:00, 2018-10-03 20:59:59, 2018-10-03 21:00:00, 6636, 0.180
2018-10-03 21:00:00, 2018-10-03 21:59:59, 2018-10-03 22:00:00, 6163, 0.146
2018-10-03 22:00:00, 2018-10-03 22:59:59, 2018-10-03 23:00:00, 6305, 0.145
2018-10-03 23:00:00, 2018-10-03 23:59:59, 2018-10-04 00:00:00, 5956, 0.133
2018-10-04 00:00:00, 2018-10-04 00:59:58, 2018-10-04 01:00:00, 5442, 0.147
2018-10-04 01:00:00, 2018-10-04 01:59:57, 2018-10-04 02:00:00, 6479, 0.157
2018-10-04 02:00:00, 2018-10-04 02:59:59, 2018-10-04 03:00:00, 6406, 0.171
2018-10-04 03:00:00, 2018-10-04 03:59:57, 2018-10-04 04:00:00, 6325, 0.167
2018-10-04 04:00:00, 2018-10-04 04:59:58, 2018-10-04 05:00:00, 6305, 0.177
2018-10-04 05:00:00, 2018-10-04 05:59:59, 2018-10-04 06:00:00, 6367, 0.164
2018-10-04 06:00:00, 2018-10-04 06:59:59, 2018-10-04 07:00:00, 5107, 0.174
2018-10-04 07:00:00, 2018-10-04 07:59:59, 2018-10-04 08:00:00, 7726, 0.154
2018-10-04 08:00:00, 2018-10-04 08:59:57, 2018-10-04 09:00:00, 7609, 0.166
2018-10-04 09:00:00, 2018-10-04 09:59:59, 2018-10-04 10:00:00, 7997, 0.178
2018-10-04 10:00:00, 2018-10-04 10:59:59, 2018-10-04 11:00:00, 7626, 0.174
2018-10-04 11:00:00, 2018-10-04 11:59:59, 2018-10-04 12:00:00, 7907, 0.167
2018-10-04 12:00:00, 2018-10-04 12:59:59, 2018-10-04 13:00:00, 8547, 0.159
2018-10-04 13:00:00, 2018-10-04 13:59:58, 2018-10-04 14:00:00, 9052, 0.166
2018-10-04 14:00:00, 2018-10-04 14:59:59, 2018-10-04 15:00:00, 9090, 0.153
2018-10-04 15:00:00, 2018-10-04 15:59:59, 2018-10-04 16:00:00, 9118, 0.178
2018-10-04 16:00:00, 2018-10-04 16:59:58, 2018-10-04 17:00:00, 8320, 0.164
2018-10-04 17:00:00, 2018-10-04 17:59:56, 2018-10-04 18:00:00, 8335, 0.144
2018-10-04 18:00:00, 2018-10-04 18:26:53, 2018-10-04 19:00:00, 3566, 0.143
