t0,t1,close_price_uṕ,close_price_variation,price_variation,volumefrom,pos
2018-09-26 17:51:59, 2018-09-26 17:52:59, true, 0.0103, 0.0214, 0.1180, true
2018-09-26 17:52:59, 2018-09-26 17:53:59, true, 0.0375, 0.0480, 0.7076, true
2018-09-26 17:53:58, 2018-09-26 17:54:58, true, 0.0295, 0.0709, -0.1645, true
2018-09-26 17:54:59, 2018-09-26 17:55:59, true, 0.0260, 0.0720, -0.3784, true
2018-09-26 17:55:59, 2018-09-26 17:56:59, true, 0.0023, 0.0417, -0.1794, true
2018-09-26 17:56:59, 2018-09-26 17:57:59, false, -0.0075, 0.0112, -0.0326, true
2018-09-26 17:57:59, 2018-09-26 17:58:59, true, 0.0078, 0.0097, 0.1588, true
2018-09-26 17:58:59, 2018-09-26 17:59:59, false, -0.0106, 0.0135, 0.3558, true
2018-09-26 17:59:59, 2018-09-26 18:00:59, false, -0.0035, 0.0165, -0.3833, true
2018-09-30 07:00:59, 2018-09-30 07:01:59, true, 0.0333, 0.0346, 0.2521, true
2018-09-30 07:01:59, 2018-09-30 07:02:59, false, -0.0187, 0.0427, -0.2532, true
2018-09-30 07:02:59, 2018-09-30 07:03:59, true, 0.0006, 0.0100, -0.0201, true
2018-09-30 07:03:59, 2018-09-30 07:04:59, false, -0.0184, 0.0087, 0.0260, true
2018-09-30 07:04:59, 2018-09-30 07:05:59, false, -0.0125, 0.0053, 0.0588, true
2018-09-30 07:05:58, 2018-09-30 07:06:58, true, 0.1608, 0.1725, -0.0108, true
2018-09-30 07:06:57, 2018-09-30 07:07:57, false, -0.0094, 0.1845, -0.0743, true
2018-09-30 07:07:59, 2018-09-30 07:08:59, true, 0.0359, 0.0555, -0.0086, true
2018-09-30 07:08:59, 2018-09-30 07:09:59, false, -0.0337, 0.0484, -0.0042, true
2018-09-30 07:09:58, 2018-09-30 07:10:58, false, -0.0386, 0.0155, 0.0472, true
2018-09-30 07:10:58, 2018-09-30 07:11:58, true, 0.0387, 0.0577, 0.9172, true
2018-09-30 07:11:59, 2018-09-30 07:12:59, true, 0.0481, 0.1124, -0.3985, true
2018-09-30 07:12:59, 2018-09-30 07:13:59, true, 0.0241, 0.0716, -0.2176, true
2018-09-30 07:13:59, 2018-09-30 07:14:59, false, -0.0094, 0.0408, -0.2505, true
2018-09-30 07:14:59, 2018-09-30 07:15:59, false, -0.0179, 0.0187, 0.2994, true
2018-09-30 07:15:59, 2018-09-30 07:16:59, true, 0.0317, 0.0610, 0.3752, true
2018-09-30 07:16:56, 2018-09-30 07:17:56, true, 0.0196, 0.0685, -0.4226, true
2018-09-30 07:17:59, 2018-09-30 07:18:59, true, 0.0427, 0.0620, 0.6953, true
2018-09-30 07:18:59, 2018-09-30 07:19:59, false, -0.0261, 0.0427, -0.9077, true
2018-09-30 07:19:57, 2018-09-30 07:20:57, false, -0.0355, 0.0152, 0.0675, true
2018-09-30 07:20:59, 2018-09-30 07:21:59, true, 0.1130, 0.1131, -0.1801, true
2018-09-30 07:21:59, 2018-09-30 07:22:59, false, -0.0067, 0.1088, 0.0585, true
2018-09-30 07:22:59, 2018-09-30 07:23:59, true, 0.0118, 0.0320, -0.0409, true
2018-09-30 07:23:58, 2018-09-30 07:24:58, false, -0.0315, 0.0262, -0.0161, true
2018-09-30 07:24:59, 2018-09-30 07:25:59, true, 0.0164, 0.0189, 0.0376, true
2018-09-30 07:25:59, 2018-09-30 07:26:59, true, 0.0409, 0.0772, 0.0179, true
2018-09-30 07:26:59, 2018-09-30 07:27:59, false, -0.0086, 0.0413, -0.1166, true
2018-09-30 07:27:59, 2018-09-30 07:28:59, true, 0.0282, 0.0298, 0.4774, true
2018-09-30 07:28:59, 2018-09-30 07:29:59, true, 0.0533, 0.0826, 0.3309, true
2018-09-30 07:29:59, 2018-09-30 07:30:59, true, 0.0057, 0.0669, -0.6140, true
2018-09-30 07:30:59, 2018-09-30 07:31:59, true, 0.1185, 0.1250, 1.5653, true
