@relation 'all-weka.filters.unsupervised.attribute.Remove-R1-2,4,7'

@attribute close_price_up {' true',' false'}
@attribute prive_variation numeric
@attribute volumeFrom numeric

@data
' false',0.0113,0.9929
' false',0.0168,-0.92
' false',0.0014,-0.1548
' false',0.0272,0.2562
' false',0.0057,-0.3156
' false',0.015,-0.0431
' true',0.0113,0.0535
' false',0.0222,0.5543
' true',0.0139,-0.8039
' false',0.0132,0.0593
' false',0.0171,-0.0967
' true',0.041,0.0127
' true',0.0431,0.0499
' false',0.0098,0.0131
' true',0.015,0.0355
' true',0.0286,0.2698
' true',0.0974,0.3875
' true',0.0995,-0.4306
' true',0.0475,-0.1809
' false',0.0329,0.1341
' true',0.0085,0.0836
' false',0.0054,-0.3321
' true',0.0119,0.1239
' false',0.0217,0.0653
' true',0.0136,-0.1744
' true',0.019,0.4754
' true',0.0145,-0.4399
' false',0.0089,0.6224
' false',0.0003,-0.5569
' true',0.0014,0.1049
' true',0.0177,0.0629
' true',0.018,-0.0637
' false',0.0184,0.3773
' true',0.0481,-0.0585
' true',0.183,1.4219
' true',0.1401,-1.3933
' true',0.0365,-0.4885
' true',0.0682,0.1554
' true',0.0542,0.2076
' false',0.0307,0.514
' false',0.0035,-0.6777
' true',0.1099,0.3108
' true',0.1027,-0.473
' true',0.0488,0.3311
' true',0.3153,5.5178
' true',0.676,8.5383
' false',0.348,-10.5165
' false',0.1416,2.0399
' false',0.0036,-5.1163
' false',0.0044,-0.2991
' true',0.1568,2.9998
' true',0.1563,1.4131
' false',0.0078,-4.0501
' true',0.0348,1.0845
' false',0.0363,-0.6139
' true',0.0281,-0.7335
' true',0.0438,1.2981
' false',0.0597,-0.0254
' true',0.0273,-0.5848
' true',0.0287,-1.1762
' true',0.1024,1.0425
' true',0.1202,-1.0388
' true',0.0536,0.7302
' true',0.035,-0.6995
' true',0.0536,1.3315
' true',0.0222,-0.8679
' true',0.0328,-0.2894
' true',0.0359,-0.1346
' true',0.1251,1.3385
' true',0.1603,-0.5839
' true',0.0596,-0.4642
' false',0.0033,2.8517
' true',0.0256,-2.204
' false',0.0117,-0.9392
' false',0.0096,0.779
' false',0.0187,-0.4633
' true',0.0525,0.0555
' true',0.1303,0.7401
' true',0.2016,1.1125
' false',0.0985,-0.5091
' false',0.0045,-1.3601
' false',0.0862,-0.3613
' false',0.0168,-0.1205
' false',0.0117,2.2477
' false',0.0271,-1.2367
' false',0.0002,1.9848
' false',0.0195,3.6169
' false',0.1508,-4.6682
' false',0.0212,-0.99
' true',0.1202,0.8381
' false',0.1315,-1.1445
' false',0.02,1.4012
' true',0.0315,-1.7715
' false',0.0231,0.8741
' true',0.0351,-1.1053
' true',0.0904,1.2895
' false',0.1738,-0.44
' false',0.0006,-0.1216
' true',0.0123,-0.4994
' false',0.044,0.5669
' false',0.008,-0.234
' false',0.0002,0.4658
' false',0.0086,-0.4502
' false',-0.0129,0.619
' false',0.0002,-1.44
' false',0.0023,2.4022
' false',0.0029,-0.236
' false',0.0068,0.5574
' false',0.0329,-2.4257
' true',0.0074,0.3815
' true',0.0784,1.378
' true',0.1413,-1.5393
' false',0.0668,-0.355
' true',0.026,0.3717
' false',0.0293,-0.1795
' true',0.045,0.9247
' true',0.0794,-0.4845
' false',0.0167,-0.1121
' false',0.0044,-0.5645
' true',0.0196,0.0781
' false',0.014,0.0122
' true',0.0152,-0.059
' false',0.0101,-0.1417
' false',0.0011,-0.0096
' false',0.0008,0.019
' true',0.0048,-0.015
' true',0.0075,-0.0086
' false',0.0075,0.0155
' false',0.0012,-0.0614
' true',0.0083,0.0188
' true',0.012,0.1409
' false',0.0114,0.0289
' false',0.0002,-0.1526
' true',0.0303,0.2832
' true',0.0825,-0.1472
' false',0.0158,-0.0436
' false',0.0041,0.386
' false',0.0021,0.6179
' false',0.0066,-0.3438
' false',0.0057,-0.4046
' true',0.0096,-0.0295
' false',0.0096,0.5416
' true',0.0158,-0.5628
' true',0.0232,-0.005
' true',0.0245,-0.1664
' false',0.0142,0.0753
' false',0.0039,-0.1447
' true',0.0068,0.0742
' true',0.0259,0.2074
' false',0.0211,0.0045
' true',0.0285,0.1169
' false',0.0263,-0.4057
' false',0.006,0.084
' true',0.0161,0.2127
' true',0.0169,-0.2416
' false',0.0038,-0.042
' true',0.0006,0.1237
' false',0.0027,0.1927
' true',0.0111,-0.1392
' false',0.023,0.6516
' false',0.0002,0.9146
' true',0.0394,-1.6163
' true',0.0089,0.1366
' false',0.0078,-0.0274
' false',0.0069,-0.0557
' true',0.0142,-0.0902
' false',0.0128,0.1962
' false',0.0098,-0.3664
' false',0.0014,0.1098
' false',0.0071,-0.1209
' false',0.0476,0.3177
' true',0.0259,-0.1259
' true',0.1065,0.499
' false',0.0623,-0.4546
' false',0.0044,-0.1349
' true',0.0274,0.1701
' true',0.0646,-0.0135
' true',0.0775,-0.04
' true',0.0423,0.1799
' true',0.0403,0.1185
' true',0.0364,-0.1931
' true',0.1008,1.1518
' false',0.0654,-1.068
' false',0.0099,-0.0855
' false',0.0011,0.1269
' false',0.002,-0.2108
' true',0.0032,0.0669
' true',0.0227,0.0774
' false',0.0173,0.0415
' true',0.0386,-0.376
' false',0.0238,0.092
' true',0.0176,-0.1213
' false',0.0213,0.1094
' true',0.0108,0.0507
' false',0.0029,-0.1448
' true',0.0144,0.0081
' true',0.0232,0.0604
' true',0.0433,0.3158
' true',0.0346,-0.098
' false',0.0251,0.0788
' true',0.0083,0.9382
' false',0.0009,-1.3055
' true',0.0221,0.321
' false',0.0218,-0.1138
' false',0.0225,-0.1015
' true',0.0135,0.176
' false',0.0068,0.8069
' true',0.038,-1.0166
' true',0.0174,-0.0475
' false',0.0116,0.0562
' false',0.0077,0.0012
' false',0.0053,0.1251
' false',0.005,-0.116
' true',0.0126,0.0005
