t0,t1,t1_normalized,tweets_count,indicator
2018-10-15 20:00:00, 2018-10-15 20:59:55, 2018-10-15 21:00:00, 6897, 0.151
2018-10-15 21:00:00, 2018-10-15 21:59:59, 2018-10-15 22:00:00, 6990, 0.126
2018-10-15 22:00:03, 2018-10-15 22:59:58, 2018-10-15 23:00:03, 6434, 0.140
2018-10-15 23:00:01, 2018-10-15 23:59:49, 2018-10-16 00:00:01, 5895, 0.140
2018-10-16 00:00:00, 2018-10-16 00:59:54, 2018-10-16 01:00:00, 5775, 0.129
2018-10-16 01:00:00, 2018-10-16 01:59:43, 2018-10-16 02:00:00, 6106, 0.148
2018-10-16 02:00:00, 2018-10-16 02:59:46, 2018-10-16 03:00:00, 5671, 0.153
2018-10-16 03:00:00, 2018-10-16 03:59:29, 2018-10-16 04:00:00, 6491, 0.161
2018-10-16 04:00:00, 2018-10-16 04:59:59, 2018-10-16 05:00:00, 6346, 0.157
2018-10-16 05:00:00, 2018-10-16 05:59:34, 2018-10-16 06:00:00, 6681, 0.181
2018-10-16 06:00:00, 2018-10-16 06:59:59, 2018-10-16 07:00:00, 7160, 0.166
2018-10-16 07:00:00, 2018-10-16 07:59:59, 2018-10-16 08:00:00, 7636, 0.164
2018-10-16 08:00:00, 2018-10-16 08:59:53, 2018-10-16 09:00:00, 7315, 0.152
2018-10-16 09:00:00, 2018-10-16 09:59:36, 2018-10-16 10:00:00, 7576, 0.144
2018-10-16 10:00:00, 2018-10-16 10:59:43, 2018-10-16 11:00:00, 7359, 0.155
2018-10-16 11:00:00, 2018-10-16 11:59:49, 2018-10-16 12:00:00, 8256, 0.156
2018-10-16 12:00:00, 2018-10-16 12:59:57, 2018-10-16 13:00:00, 7266, 0.155
2018-10-16 13:00:00, 2018-10-16 13:59:59, 2018-10-16 14:00:00, 7557, 0.167
2018-10-16 14:00:00, 2018-10-16 14:59:59, 2018-10-16 15:00:00, 7579, 0.144
2018-10-16 15:00:00, 2018-10-16 15:59:59, 2018-10-16 16:00:00, 7284, 0.152
2018-10-16 16:00:00, 2018-10-16 16:59:59, 2018-10-16 17:00:00, 7797, 0.167
2018-10-16 17:00:00, 2018-10-16 17:59:59, 2018-10-16 18:00:00, 7548, 0.171
2018-10-16 18:00:02, 2018-10-16 18:59:58, 2018-10-16 19:00:02, 7164, 0.162
2018-10-16 19:00:00, 2018-10-16 19:59:38, 2018-10-16 20:00:00, 6480, 0.138
2018-10-16 20:00:00, 2018-10-16 20:59:59, 2018-10-16 21:00:00, 5834, 0.151
2018-10-16 21:00:00, 2018-10-16 21:59:59, 2018-10-16 22:00:00, 6310, 0.142
2018-10-16 22:00:00, 2018-10-16 22:59:33, 2018-10-16 23:00:00, 5457, 0.153
